fiscal_month,product_code,product_name,variant,gross_price_per_item,total_gross_price
1,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,3849.57
2,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,1810.44
4,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,2153.47
5,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,3468.43
6,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,3963.92
8,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,3792.4
9,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,1105.32
10,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,3906.75
12,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,19.0573,1677.04
1,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,3475.95
2,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,5085.19
4,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,3690.52
5,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,2596.24
6,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,1652.15
8,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,5299.76
9,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,2896.63
10,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,1673.61
12,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,21.4565,4205.47
1,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,4203.44
2,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,2221.51
4,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,8341.55
5,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,3092.69
6,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,4181.66
8,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,4050.99
9,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,3767.85
10,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,1045.42
12,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,21.7795,1088.98
1,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,3354.04
2,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,6340.52
4,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,4571.61
5,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,804.05
6,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,3239.18
8,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,620.27
9,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,2136.48
10,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,2894.59
12,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,22.9729,666.21
1,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,3531.11
2,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,3886.59
4,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,8578.93
5,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,3815.49
6,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,2654.25
8,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,1919.59
9,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,4668.64
10,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,947.95
12,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,23.6987,2251.38
1,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,2646.24
2,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,2398.93
4,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,10115.06
5,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,5960.22
6,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,3833.34
8,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,939.79
9,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,24.7312,6083.88
